frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes
0,0,baseline,5000,1,0,131.677,14.0951,2.3156,0.00784,26.2112,48.09508,0,0.4087,180224,0,0,5000,6,30000,5000,6,30000,1136936,0,0,0.2512,0.8422,214896,40
1,0,preskin,5000,1,0,78.8831,21.8749,2.0933,0.03764,15.10444,37.83052,0.1787,0.0464,180224,214896,1,5000,6,30000,5000,6,30000,40,0,0,0,0,0,0
2,1,preskin,5000,1,0.016393442,56.9013,5.0399,0.3171,0.03852,15.5648,34.27316,0.2315,0.0408,180224,214896,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0
3,1,baseline,5000,1,0.016393442,80.1629,5.679,0.1044,0.00596,23.3676,48.14632,0,0.0417,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0828,0.452,214896,0
4,2,baseline,5000,1,0.032786883,78.8636,6.1385,0.096,0.01012,23.10612,47.94584,0,0.027200000000000002,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0662,0.3994,214896,0
5,2,preskin,5000,1,0.032786883,51.5863,2.3679,0.3478,0.03916,16.18968,31.0868,0.2697,0.0237,180224,214896,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0
6,3,preskin,5000,1,0.04918033,52.4896,1.5399,0.2911,0.02664,15.85976,33.24756,0.2183,0.0263,180224,214896,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0
7,3,baseline,5000,1,0.04918033,70.6201,1.4635,0.101,0.007,20.8542,46.59532,0,0.0395,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0407,0.4501,214896,0
8,4,baseline,5000,1,0.06557377,68.9817,1.6357,0.1014,0.0072,20.77176,44.84244,0,0.039,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0482,0.4242,214896,0
9,4,preskin,5000,1,0.06557377,49.727,1.6792,0.3113,0.03848,15.08104,31.20576,0.2245,0.0397,180224,214896,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0
10,5,preskin,5000,1,0.08196721,57.3144,1.4582,0.2835,0.0248,15.073,37.35188,0.1981,0.034199999999999994,180224,214896,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0
11,5,baseline,5000,1,0.08196721,75.4274,1.8246,0.1165,0.00788,23.60708,48.16904,0,0.0483,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0463,0.4403,214896,0
12,6,baseline,5000,1,0.09836066,74.1391,1.8578,0.1134,0.00972,22.45076,48.05432,0,0.0453,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0472,0.4745,214896,0
13,6,preskin,5000,1,0.09836066,48.1401,1.8666,0.4563,0.03832,15.4672,28.83568,0.2635,0.0479,180224,214896,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0
14,7,preskin,5000,1,0.114754096,58.697,1.3477,3.0799,0.03872,15.06964,37.62032,0.1887,0.0479,180224,214896,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0
15,7,baseline,5000,1,0.114754096,75.5849,1.814,0.111,0.00796,23.89892,48.01836,0,0.041800000000000004,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0438,0.4385,214896,0
16,8,baseline,5000,1,0.13114753,77.3694,1.8795,0.1328,0.00956,25.78564,47.7296,0,0.0535,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0494,0.466,214896,0
17,8,preskin,5000,1,0.13114753,53.3013,1.8387,0.3685,0.02996,15.99508,33.43452,0.2504,0.05,180224,214896,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0
18,9,preskin,5000,1,0.14754099,56.8731,1.5542,0.293,0.0388,15.6814,37.78752,0.2041,0.0421,180224,214896,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0
