members,phase,elapsed_ms,allocated_bytes,presenters,visual_keys,visible
5000,preview_first,86.042300,8364048,15000,15000,15000
5000,commit_first,120.347100,9960280,20000,20000,15000
5000,clear_first,15.207500,0,20000,20000,10000
5000,preview_repeat_0,25.102700,0,20000,20000,15000
5000,commit_repeat_0,41.429800,0,20000,20000,15000
5000,clear_repeat_0,15.276000,0,20000,20000,10000
5000,preview_repeat_1,24.771600,0,20000,20000,15000
5000,commit_repeat_1,40.339300,0,20000,20000,15000
5000,clear_repeat_1,14.820400,0,20000,20000,10000
5000,preview_repeat_2,24.596200,0,20000,20000,15000
5000,commit_repeat_2,41.939700,0,20000,20000,15000
5000,clear_repeat_2,16.139300,0,20000,20000,10000
5000,preview_repeat_3,23.151800,0,20000,20000,15000
5000,commit_repeat_3,43.901300,0,20000,20000,15000
5000,clear_repeat_3,16.047100,0,20000,20000,10000
