frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes,normal_correction_cpu_upload_ms,normal_correction_upload_bytes
0,0,baseline,10000,1,0,206.137,25.9294,3.4367,0.00816,51.44648,91.68016,0,0.3468,344064,0,0,10000,6,60000,10000,6,60000,1720776,0,0,0.2105,0.7823,214896,40,0,0
1,0,preskin,10000,1,0,107.9765,8.5553,1.7287,0.06408,31.92852,61.92592,1.6069,0.0588,344064,322344,1,10000,6,60000,10000,6,60000,40,0,0,0,0,0,0,1.3507,107448
2,1,preskin,10000,1,0.016393442,102.2841,6.2198,0.3704,0.06708,30.99728,62.7994,0.2892,0.0293,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1455,107448
3,1,baseline,10000,1,0.016393442,147.3206,5.9085,0.0948,0.0128,50.0748,88.98804,0,0.0292,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0395,0.4042,214896,0,0,0
4,2,baseline,10000,1,0.032786883,145.1901,7.3121,0.0928,0.0132,47.0742,88.33624,0,0.0278,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0589,0.4803,214896,0,0,0
5,2,preskin,10000,1,0.032786883,99.8873,3.0181,0.4855,0.06464,31.32416,62.81156,0.3881,0.033600000000000005,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1944,107448
6,3,preskin,10000,1,0.04918033,100.2536,2.9141,0.4667,0.06436,31.89916,62.77352,0.3618,0.0466,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.168,107448
7,3,baseline,10000,1,0.04918033,144.0145,2.6584,0.1155,0.01224,49.25036,89.72132,0,0.044899999999999995,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0445,0.3459,214896,0,0,0
8,4,baseline,10000,1,0.06557377,146.1023,3.0932,0.1348,0.0124,48.75956,91.65452,0,0.0509,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0498,0.4232,214896,0,0,0
9,4,preskin,10000,1,0.06557377,109.7559,3.6841,0.7343,0.06556,36.47768,66.1734,0.6179,0.0413,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.326,107448
10,5,preskin,10000,1,0.08196721,102.5528,3.0487,0.4893,0.04044,32.53752,62.87616,0.3985,0.0375,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.206,107448
11,5,baseline,10000,1,0.08196721,140.7497,2.7585,2.7983,0.01184,44.2192,88.87776,0,0.0467,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.1038,0.5246,214896,0,0,0
12,6,baseline,10000,1,0.09836066,133.354,2.7497,0.1086,0.01224,41.4796,86.74292,0,0.0357,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0632,0.4547,214896,0,0,0
13,6,preskin,10000,1,0.09836066,95.7778,3.2248,0.5504,0.06544,30.5014,59.36948,0.4606,0.032799999999999996,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.2461,107448
14,7,preskin,10000,1,0.114754096,110.5548,2.8945,1.4183,0.06476,33.78412,69.7596,1.345,0.0272,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,1.1223,107448
15,7,baseline,10000,1,0.114754096,145.4983,3.2347,0.143,0.01212,48.1588,91.67712,0,0.051500000000000004,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0587,0.4389,214896,0,0,0
16,8,baseline,10000,1,0.13114753,152.9121,4.9607,0.2065,0.01288,52.85968,91.78,0,0.0512,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0527,0.459,214896,0,0,0
17,8,preskin,10000,1,0.13114753,105.5385,4.2271,0.812,0.066,34.26092,63.03336,0.6902,0.0464,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.34,107448
18,9,preskin,10000,1,0.14754099,98.5478,2.8248,0.5905,0.06444,30.4,62.49384,0.453,0.0507,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.2156,107448
19,9,baseline,10000,1,0.14754099,140.1268,2.8123,0.1378,0.01212,45.15732,89.63752,0,0.0589,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0741,0.4274,214896,0,0,0
20,10,baseline,10000,1,0.16393442,142.1601,3.1002,0.1209,0.01244,46.57584,89.84996,0,0.0411,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0525,0.403,214896,0,0,0
21,10,preskin,10000,1,0.16393442,98.987,3.2816,0.4615,0.03788,31.04064,61.59852,0.3776,0.0496,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.135,107448
22,11,preskin,10000,1,0.18032786,98.8031,2.8341,0.4303,0.06548,31.17944,62.02028,0.3548,0.0331,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1251,107448
23,11,baseline,10000,1,0.18032786,146.6869,3.5437,0.1041,0.01152,48.9836,91.68784,0,0.0349,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0717,0.4147,214896,0,0,0
24,12,baseline,10000,1,0.19672132,141.0588,4.9502,0.1808,0.01244,43.78988,88.77612,0,0.0571,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0715,0.5307,214896,0,0,0
25,12,preskin,10000,1,0.19672132,98.3155,2.9307,0.4386,0.06324,30.46932,62.104,0.3705,0.0335,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1319,107448
26,13,preskin,10000,1,0.21311475,97.4108,3.8096,0.5076,0.0656,30.35704,60.5816,0.421,0.0348,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1315,107448
27,13,baseline,10000,1,0.21311475,136.0566,2.557,0.0874,0.0098,44.35612,86.73528,0,0.0328,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.064,0.489,214896,0,0,0
28,14,baseline,10000,1,0.22950819,136.3981,3.6444,0.095,0.01192,44.9228,85.4982,0,0.0314,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0734,0.4523,214896,0,0,0
29,14,preskin,10000,1,0.22950819,99.9857,3.8471,0.4857,0.06348,30.6002,62.82536,0.4053,0.0308,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.144,107448
30,15,preskin,10000,1,0.24590164,98.0311,3.4631,0.464,0.066,32.24964,59.82912,0.3724,0.041400000000000006,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1371,107448
31,15,baseline,10000,1,0.24590164,151.4973,12.7538,0.0636,0.0124,46.17316,90.4112,0,0.0196,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0474,0.446,214896,0,0,0
32,16,baseline,10000,1,0.26229507,141.3384,2.8958,0.0918,0.01256,48.15728,87.64044,0,0.036199999999999996,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0496,0.4436,214896,0,0,0
33,16,preskin,10000,1,0.26229507,105.9539,3.685,0.4775,0.0634,30.29808,69.22088,0.3858,0.042300000000000004,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1399,107448
34,17,preskin,10000,1,0.27868852,102.5242,2.9942,0.4649,0.06676,32.6512,64.04972,0.3702,0.0523,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1253,107448
35,17,baseline,10000,1,0.27868852,145.0914,3.9113,0.1128,0.0124,48.81896,89.87168,0,0.04869999999999999,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0631,0.4654,214896,0,0,0
36,18,baseline,10000,1,0.29508197,140.7841,3.17,0.1247,0.01292,46.67116,88.32684,0,0.055900000000000005,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0513,0.4029,214896,0,0,0
37,18,preskin,10000,1,0.29508197,99.4886,2.9172,0.4454,0.06424,30.94556,62.85804,0.3793,0.0343,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1491,107448
38,19,preskin,10000,1,0.3114754,100.0955,3.1454,0.3995,0.0626,30.70472,63.71424,0.3273,0.0329,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1108,107448
39,19,baseline,10000,1,0.3114754,139.8223,2.8835,0.0972,0.01232,46.59792,87.8608,0,0.0403,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0684,0.3602,214896,0,0,0
40,20,baseline,10000,1,0.32786885,141.1761,3.3549,0.0991,0.01272,47.29056,88.0994,0,0.0323,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0706,0.4657,214896,0,0,0
41,20,preskin,10000,1,0.32786885,97.4263,2.9487,0.428,0.06396,30.85892,60.92716,0.3622,0.035,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1219,107448
42,21,preskin,10000,1,0.3442623,105.373,2.881,0.4555,0.06536,31.69948,67.7478,0.3801,0.033,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1345,107448
43,21,baseline,10000,1,0.3442623,147.0029,3.1616,0.0816,0.01216,49.26812,92.0202,0,0.032,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0535,0.3907,214896,0,0,0
44,22,baseline,10000,1,0.36065573,142.8025,4.1264,0.1125,0.01268,46.54268,89.5582,0,0.0422,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0561,0.4661,214896,0,0,0
45,22,preskin,10000,1,0.36065573,97.8254,3.1894,0.4194,0.0642,30.64644,60.8518,0.3547,0.033,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1256,107448
46,23,preskin,10000,1,0.37704918,97.1286,3.0173,0.453,0.06468,30.66416,60.76232,0.3364,0.044,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.12,107448
47,23,baseline,10000,1,0.37704918,138.5924,2.7557,0.0975,0.01216,44.8282,88.60836,0,0.042800000000000005,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.041,0.3661,214896,0,0,0
48,24,baseline,10000,1,0.39344263,140.6378,3.0342,0.1134,0.01236,45.17364,89.93704,0,0.0516,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0538,0.4821,214896,0,0,0
49,24,preskin,10000,1,0.39344263,105.7936,3.5188,0.4307,0.06436,33.15756,66.41064,0.3582,0.0427,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1273,107448
50,25,preskin,10000,1,0.40983605,98.7859,3.1567,0.4432,0.06528,31.23676,61.69836,0.3653,0.0377,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1301,107448
51,25,baseline,10000,1,0.40983605,136.3197,2.6574,0.1019,0.01252,42.6254,88.5882,0,0.0382,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0631,0.4028,214896,0,0,0
52,26,baseline,10000,1,0.4262295,138.0286,3.2484,0.1096,0.01228,44.13784,88.0998,0,0.0382,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0728,0.3951,214896,0,0,0
53,26,preskin,10000,1,0.4262295,97.3519,3.0858,0.4585,0.06304,30.77336,60.80464,0.3892,0.035500000000000004,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1472,107448
54,27,preskin,10000,1,0.44262296,98.2242,3.5645,0.4069,0.0652,30.60796,61.5332,0.3349,0.0304,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1183,107448
55,27,baseline,10000,1,0.44262296,137.7568,3.2722,0.0899,0.01312,44.48884,87.57232,0,0.0308,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0425,0.3686,214896,0,0,0
56,28,baseline,10000,1,0.45901638,138.0682,3.1303,0.1097,0.01184,44.58952,87.935,0,0.0388,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0601,0.4502,214896,0,0,0
57,28,preskin,10000,1,0.45901638,103.4702,3.1179,0.4197,0.06344,31.76572,65.66112,0.3538,0.032600000000000004,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1273,107448
58,29,preskin,10000,1,0.47540984,105.5813,3.7723,0.4732,0.06564,32.26372,66.85864,0.3625,0.0379,344064,322344,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0,0.1238,107448
59,29,baseline,10000,1,0.47540984,141.6603,3.6954,0.1238,0.0122,46.16528,89.43664,0,0.039099999999999996,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.054,0.4011,214896,0,0,0
60,30,baseline,10000,1,0.4918033,139.3993,3.6307,0.0935,0.01192,46.89756,86.38716,0,0.0373,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0524,0.404,214896,0,0,0
