frame,mode,count,main_gpu_ms,shadow_gpu_ms,total_ms,alloc_bytes,instances,draws,poses,shared_instances
0,baseline,5000,48.31516,27.53096,58.1213,3161096,5000,6,1,0
1,optimized,5000,45.2488,26.7634,44.2564,80,5000,6,1,5000
2,baseline,5000,48.53904,29.87352,32.462,0,5000,6,1,0
3,optimized,5000,45.19688,27.00696,72.9673,0,5000,6,1,5000
4,baseline,5000,48.56292,29.85176,78.9889,0,5000,6,1,0
5,optimized,5000,44.93044,26.67108,73.2789,0,5000,6,1,5000
6,baseline,5000,48.66032,29.72408,79.1681,0,5000,6,1,0
7,optimized,5000,45.15704,27.07084,72.3203,0,5000,6,1,5000
8,baseline,5000,48.42344,29.8002,79.601,0,5000,6,1,0
9,optimized,5000,44.92584,26.88916,73.1324,0,5000,6,1,5000
10,baseline,5000,48.46904,29.57696,79.2263,0,5000,6,1,0
11,optimized,5000,44.70836,26.6674,72.8023,0,5000,6,1,5000
12,baseline,5000,48.1266,29.54584,78.8046,0,5000,6,1,0
13,optimized,5000,44.81648,26.63076,72.0411,0,5000,6,1,5000
14,baseline,5000,48.11488,29.53608,78.3669,0,5000,6,1,0
15,optimized,5000,44.71168,26.6926,72.1349,0,5000,6,1,5000
16,baseline,5000,48.85032,29.76588,78.3345,0,5000,6,1,0
17,optimized,5000,45.13808,26.89164,71.9851,0,5000,6,1,5000
18,baseline,5000,48.40776,29.68412,79.3577,0,5000,6,1,0
19,optimized,5000,45.21004,26.74536,72.735,0,5000,6,1,5000
20,baseline,5000,48.1862,29.54964,78.8757,0,5000,6,1,0
21,optimized,5000,44.8582,26.68512,72.7324,0,5000,6,1,5000
22,baseline,5000,48.22136,29.53792,78.3704,0,5000,6,1,0
23,optimized,5000,44.78716,26.65376,72.1645,0,5000,6,1,5000
24,baseline,5000,47.9962,29.5444,78.4112,0,5000,6,1,0
25,optimized,5000,41.31368,22.43492,72.0784,0,5000,6,1,5000
26,baseline,5000,47.77108,25.33228,78.1952,0,5000,6,1,0
27,optimized,5000,43.99816,24.20228,64.2689,0,5000,6,1,5000
28,baseline,5000,47.60636,25.4492,73.6791,0,5000,6,1,0
29,optimized,5000,41.88768,22.68372,68.8193,0,5000,6,1,5000
30,baseline,5000,48.14216,27.20032,73.6275,0,5000,6,1,0
