frame,mode,count,main_gpu_ms,shadow_gpu_ms,total_ms,alloc_bytes,instances,draws,poses,shared_instances
0,baseline,10000,91.79512,55.07052,70.7433,4865320,10000,6,1,0
1,optimized,10000,80.67888,51.7244,26.017,80,10000,6,1,10000
2,baseline,10000,90.07212,52.02588,123.3595,0,10000,6,1,0
3,optimized,10000,79.44592,38.59208,132.7341,0,10000,6,1,10000
4,baseline,10000,89.42832,52.83492,142.8994,0,10000,6,1,0
5,optimized,10000,84.85008,41.46064,118.7185,0,10000,6,1,10000
6,baseline,10000,91.77852,58.92408,143.016,0,10000,6,1,0
7,optimized,10000,84.05416,47.5426,127.0633,0,10000,6,1,10000
8,baseline,10000,89.45632,52.33192,151.5155,0,10000,6,1,0
9,optimized,10000,79.917,42.1488,132.3383,0,10000,6,1,10000
10,baseline,10000,87.64092,50.71692,142.5659,0,10000,6,1,0
11,optimized,10000,77.45368,39.4426,122.7894,0,10000,6,1,10000
12,baseline,10000,91.08764,50.739,139.1485,0,10000,6,1,0
13,optimized,10000,85.02472,44.78768,117.5111,0,10000,6,1,10000
14,baseline,10000,91.8914,58.89408,142.6014,0,10000,6,1,0
15,optimized,10000,81.35984,53.02928,130.5463,0,10000,6,1,10000
16,baseline,10000,86.0992,46.57336,151.5542,0,10000,6,1,0
17,optimized,10000,84.92292,40.7046,134.9992,0,10000,6,1,10000
18,baseline,10000,91.82728,58.90036,133.4117,0,10000,6,1,0
19,optimized,10000,78.28868,47.52196,126.4091,0,10000,6,1,10000
20,baseline,10000,87.343,46.32332,151.505,0,10000,6,1,0
21,optimized,10000,77.7788,39.72436,126.5655,0,10000,6,1,10000
22,baseline,10000,88.66172,49.34076,134.4326,0,10000,6,1,0
23,optimized,10000,84.69356,48.86992,118.1806,0,10000,6,1,10000
24,baseline,10000,91.96152,52.59192,138.8589,0,10000,6,1,0
25,optimized,10000,85.52036,53.118,134.362,0,10000,6,1,10000
26,baseline,10000,92.52532,59.05908,145.3247,0,10000,6,1,0
27,optimized,10000,84.47692,53.17476,139.4006,0,10000,6,1,10000
28,baseline,10000,92.13676,53.09476,152.384,0,10000,6,1,0
29,optimized,10000,84.26868,52.3676,138.4476,0,10000,6,1,10000
30,baseline,10000,93.06436,58.87004,146.0574,0,10000,6,1,0
31,optimized,10000,85.67852,53.26572,137.414,0,10000,6,1,10000
32,baseline,10000,93.0278,59.06084,152.9249,0,10000,6,1,0
33,optimized,10000,86.09504,53.27036,139.7287,0,10000,6,1,10000
34,baseline,10000,93.06176,59.03144,153.138,0,10000,6,1,0
35,optimized,10000,85.87784,53.27776,140.228,0,10000,6,1,10000
36,baseline,10000,92.83428,58.88336,153.127,0,10000,6,1,0
37,optimized,10000,85.48144,53.08192,140.2568,0,10000,6,1,10000
38,baseline,10000,93.06928,58.92404,152.7273,0,10000,6,1,0
39,optimized,10000,85.86864,53.14944,139.5391,0,10000,6,1,10000
40,baseline,10000,93.0578,58.875,153.0181,0,10000,6,1,0
41,optimized,10000,86.1668,53.00464,140.0115,0,10000,6,1,10000
42,baseline,10000,92.76492,58.79268,153.0806,0,10000,6,1,0
43,optimized,10000,85.9922,53.14212,140.2576,0,10000,6,1,10000
44,baseline,10000,92.95992,59.3242,152.6969,0,10000,6,1,0
45,optimized,10000,86.16472,53.66584,139.9717,0,10000,6,1,10000
46,baseline,10000,93.19172,59.42156,153.3767,0,10000,6,1,0
47,optimized,10000,86.3404,53.67032,141.1882,0,10000,6,1,10000
48,baseline,10000,93.27288,59.3864,154.1615,0,10000,6,1,0
49,optimized,10000,85.6244,53.22344,141.0459,0,10000,6,1,10000
