frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes,normal_correction_cpu_upload_ms,normal_correction_upload_bytes
24,12,baseline,1000,1,0.19672132,15.1919,0.3949,0.0808,0.00576,3.85992,9.91744,0,0.0315,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0326,0.3873,214896,0,0,0
25,12,preskin,1000,1,0.19672132,12.8084,0.4456,0.6144,0.04604,3.49904,7.2648,0.5395,0.0399,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2737,107448
26,13,preskin,1000,1,0.21311475,13.4281,0.3998,0.6925,0.04368,3.45644,7.77528,0.6418,0.0123,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.3534,107448
27,13,baseline,1000,1,0.21311475,16.2569,0.4111,0.0673,0.00588,3.96216,10.84888,0,0.0179,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0507,0.3558,214896,0,0,0
28,14,baseline,1000,1,0.22950819,19.047,0.4556,3.9855,0.00732,3.56756,10.09256,0,0.0349,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0513,0.3392,214896,0,0,0
29,14,preskin,1000,1,0.22950819,12.9538,0.4593,0.4546,0.04764,3.53284,7.5622,0.4166,0.0292,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1332,107448
30,15,preskin,1000,1,0.24590164,12.2123,0.4217,0.4124,0.04404,3.33352,7.13832,0.3925,0.012199999999999999,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1174,107448
31,15,baseline,1000,1,0.24590164,15.4644,0.4021,0.0383,0.0058,3.80892,10.13144,0,0.015899999999999997,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0281,0.3579,214896,0,0,0
32,16,baseline,1000,1,0.26229507,16.128,0.443,0.0521,0.00668,4.30316,10.39968,0,0.0259,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.047,0.2898,214896,0,0,0
33,16,preskin,1000,1,0.26229507,13.0757,0.4625,0.4273,0.04792,3.83108,7.43852,0.4062,0.0127,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1286,107448
34,17,preskin,1000,1,0.27868852,12.399,0.3902,0.4158,0.04288,3.28356,7.39908,0.3959,0.0127,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.112,107448
35,17,baseline,1000,1,0.27868852,15.8886,0.4243,0.0384,0.00592,4.03724,10.43756,0,0.0143,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0397,0.3376,214896,0,0,0
36,18,baseline,1000,1,0.29508197,16.7931,0.4741,0.0448,0.00652,4.53672,10.70012,0,0.0183,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0345,0.329,214896,0,0,0
37,18,preskin,1000,1,0.29508197,12.8879,0.4324,0.5487,0.04732,4.11064,6.93784,0.5079,0.0327,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1954,107448
38,19,preskin,1000,1,0.3114754,12.6061,0.4005,0.4178,0.04712,3.3904,7.42924,0.3605,0.0273,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1134,107448
39,19,baseline,1000,1,0.3114754,16.7301,0.4211,0.0511,0.00576,4.01772,11.05088,0,0.0285,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0297,0.3385,214896,0,0,0
40,20,baseline,1000,1,0.32786885,17.3199,0.4528,0.0608,0.00716,4.83328,11.03716,0,0.034,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.034,0.3754,214896,0,0,0
41,20,preskin,1000,1,0.32786885,12.1822,0.4803,0.4079,0.04272,3.27772,7.01184,0.3882,0.0118,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.13,107448
42,21,preskin,1000,1,0.3442623,12.2725,0.3631,0.3597,0.0388,3.05192,6.9892,0.3356,0.0106,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1039,107448
43,21,baseline,1000,1,0.3442623,14.8055,0.3779,0.0372,0.00568,3.6922,9.72976,0,0.0153,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0516,0.3503,214896,0,0,0
44,22,baseline,1000,1,0.36065573,15.8371,0.4154,0.0439,0.00588,3.98452,10.28172,0,0.020499999999999997,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0509,0.4243,214896,0,0,0
45,22,preskin,1000,1,0.36065573,12.8737,0.4469,0.4302,0.04988,3.50108,7.59408,0.4091,0.0128,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1335,107448
46,23,preskin,1000,1,0.37704918,12.4196,0.3991,0.3811,0.04648,3.44172,7.29292,0.3628,0.010700000000000001,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1073,107448
47,23,baseline,1000,1,0.37704918,15.236,0.3966,0.0475,0.00588,3.89584,9.96884,0,0.0242,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0526,0.3216,214896,0,0,0
48,24,baseline,1000,1,0.39344263,17.3926,0.4886,0.0409,0.0072,4.64904,11.24992,0,0.014599999999999998,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0344,0.3988,214896,0,0,0
49,24,preskin,1000,1,0.39344263,20.8056,10.1941,0.214,0.05488,2.9926,6.31516,0.1904,0.0182,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.0609,107448
50,25,preskin,1000,1,0.40983605,12.4386,0.3845,0.3778,0.04364,3.38096,7.44044,0.3422,0.0276,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1247,107448
51,25,baseline,1000,1,0.40983605,15.1389,0.3767,0.049,0.00548,3.69908,10.01936,0,0.0273,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0318,0.4118,214896,0,0,0
52,26,baseline,1000,1,0.4262295,16.22,0.4447,0.0565,0.00664,4.23772,10.53892,0,0.0312,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0351,0.3167,214896,0,0,0
53,26,preskin,1000,1,0.4262295,15.1107,0.4445,0.4316,0.04768,3.90384,9.30656,0.4101,0.0132,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1486,107448
54,27,preskin,1000,1,0.44262296,12.6121,0.462,0.5414,0.0498,3.43032,7.24076,0.5112,0.0194,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2326,107448
55,27,baseline,1000,1,0.44262296,15.44,0.3973,0.0578,0.00608,3.93352,10.24344,0,0.035500000000000004,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0457,0.3206,214896,0,0,0
56,28,baseline,1000,1,0.45901638,16.0706,0.4548,0.0431,0.00672,4.18328,10.34932,0,0.0173,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0373,0.3249,214896,0,0,0
57,28,preskin,1000,1,0.45901638,12.5515,0.4531,0.4241,0.04672,3.4698,7.2094,0.3938,0.0206,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1187,107448
58,29,preskin,1000,1,0.47540984,12.0773,0.3942,0.3703,0.04608,3.24804,7.1232,0.3492,0.013000000000000001,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1098,107448
59,29,baseline,1000,1,0.47540984,17.1914,0.4391,0.0384,0.00596,4.25368,11.40536,0,0.0127,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.04,0.3498,214896,0,0,0
60,30,baseline,1000,1,0.4918033,16.8945,0.4821,0.0458,0.00736,4.71764,10.5804,0,0.0168,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.036,0.3725,214896,0,0,0
61,30,preskin,1000,1,0.4918033,13.1158,0.4548,0.4031,0.04324,3.35256,7.8248,0.3766,0.0178,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1418,107448
62,31,preskin,1000,1,0.5081967,12.9022,0.4413,0.417,0.04612,3.32976,7.75676,0.3914,0.016,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1278,107448
63,31,baseline,1000,1,0.5081967,15.0513,0.4166,0.0422,0.0062,3.87848,9.844,0,0.0175,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0415,0.3613,214896,0,0,0
