frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes,normal_correction_cpu_upload_ms,normal_correction_upload_bytes
24,12,baseline,5000,1,0.19672132,69.5173,1.7437,0.0733,0.0076,20.2166,45.78268,0,0.0305,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0461,0.4457,214896,0,0,0
25,12,preskin,5000,1,0.19672132,52.7738,1.7117,0.412,0.0598,15.31188,33.7258,0.3446,0.038900000000000004,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1072,107448
26,13,preskin,5000,1,0.21311475,51.8286,1.4943,0.3522,0.06044,15.66232,32.67724,0.3111,0.0205,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1121,107448
27,13,baseline,5000,1,0.21311475,72.8555,1.4532,0.061,0.00704,21.74656,47.86744,0,0.0247,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0549,0.3507,214896,0,0,0
28,14,baseline,5000,1,0.22950819,70.0012,1.7573,0.1057,0.00968,19.7278,46.40376,0,0.0476,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0663,0.4346,214896,0,0,0
29,14,preskin,5000,1,0.22950819,51.9322,1.623,0.4949,0.0472,15.80248,32.37368,0.4426,0.028200000000000003,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1746,107448
30,15,preskin,5000,1,0.24590164,51.8582,1.6739,0.4837,0.0602,15.90316,32.12812,0.4252,0.0297,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1419,107448
31,15,baseline,5000,1,0.24590164,67.431,1.355,0.0562,0.00672,20.11848,44.4986,0,0.0182,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0504,0.3311,214896,0,0,0
32,16,baseline,5000,1,0.26229507,74.839,1.5712,0.0663,0.00712,22.88564,48.32704,0,0.0213,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0671,0.4254,214896,0,0,0
33,16,preskin,5000,1,0.26229507,61.4067,2.4176,0.7289,0.06036,17.70468,38.37428,0.6458,0.038,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1962,107448
34,17,preskin,5000,1,0.27868852,56.6545,2.0239,0.5405,0.06344,17.1594,34.90076,0.472,0.039099999999999996,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1583,107448
35,17,baseline,5000,1,0.27868852,83.9084,10.6171,0.0579,0.01,23.28116,48.28424,0,0.0258,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0503,0.4049,214896,0,0,0
36,18,baseline,5000,1,0.29508197,71.8617,1.7496,0.0841,0.00976,20.10844,47.97852,0,0.031,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0496,0.3999,214896,0,0,0
37,18,preskin,5000,1,0.29508197,57.547,1.88,0.6331,0.06076,17.21968,35.77068,0.5407,0.0647,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.2015,107448
38,19,preskin,5000,1,0.3114754,56.7622,2.2689,0.5351,0.05932,15.62972,36.54568,0.4555,0.0467,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1647,107448
39,19,baseline,5000,1,0.3114754,75.4181,1.5657,0.0895,0.007,23.94636,47.83056,0,0.0447,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0495,0.4439,214896,0,0,0
