frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents
1,546.1417236328125,0.25920000672340393,94.27770233154297,6.49560022354126,1.1686999797821045,2.621999979019165,0.6689000129699707,0.00800000037997961,0,5,0,0,0,0,0,5.711599826812744,7.220099925994873,5.888999938964844,0,0,0,0,0,0,0,0,0,0,164470024,6,6,320.23590087890625,6.223100185394287,11.31149959564209,41.7422981262207,2.9414000511169434,0.4894999861717224,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7.46560001373291,0.009499999694526196,3.029599905014038,0.012400000356137753,0.022700000554323196,0.007600000128149986,0.015300000086426735,0.0008999999845400453,0,5,0,0,0,0,0,0.10790000110864639,0.05689999833703041,2.158900022506714,0,0,0,0,0,0,0,0,0,0,12400,0,0,5.3078999519348145,0.9567000269889832,0.07569999992847443,0.632099986076355,0.9067000150680542,0.10649999976158142,0,0,0,0,0,0,0,0,0,0,0,0,0
3,97.20390319824219,78.33219909667969,5.723800182342529,0.01940000057220459,0.02250000089406967,2.14520001411438,0.008299999870359898,0.0038999998942017555,0,5,0,5,0,0,0,0.10220000147819519,0.05420000106096268,2.51990008354187,0,0,0,0,0,0,0,0,0,0,3575776,0,0,84.18360137939453,0.04910000041127205,10.318900108337402,0.3644999861717224,0.014999999664723873,0.11190000176429749,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.301599979400635,5.5346999168396,0.6664000153541565,0.008299999870359898,0.013299999758601189,0.007799999788403511,0.011099999770522118,0.0007999999797903001,0,5,0,5,0,0,0,0.11749999970197678,0.05990000069141388,0.2475000023841858,0,0,0,0,0,0,0,0,0,0,9168,0,0,6.3506999015808105,0.057100001722574234,0.1940000057220459,0.38339999318122864,0.017500000074505806,0.10509999841451645,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2505.88818359375,1734.162841796875,769.8289794921875,561.7291870117188,17.666500091552734,37.55699920654297,0.013700000010430813,6.827499866485596,10000,10009,0,5,0,0,0,2.066800117492676,4.457300186157227,14.020000457763672,0,0,0,0,0,0,0,0,0,0,2545141528,87,20,2504.1376953125,0.2475000023841858,0.13580000400543213,1.0091999769210815,0.17880000174045563,0.12809999287128448,0,0,0,0,0,0,0,0,0,0,0,0,0
6,258.9664001464844,126.30159759521484,98.4175033569336,29.32270050048828,1.2417999505996704,23.427900314331055,0.011900000274181366,1.4230999946594238,10000,10009,0,10006,0,0,10000,1.5419000387191772,4.067599773406982,30.61009979248047,0,0,0,0,0,0,0,0,0,0,280415344,14,2,225.0115966796875,0.07259999960660934,24.03890037536621,0.3871999979019165,0.02070000022649765,0.11760000139474869,0,0,0,0,0,0,0,0,0,0,0,0,0
7,60.811500549316406,7.417600154876709,49.873600006103516,26.219600677490234,1.2371000051498413,3.5585999488830566,0.01510000042617321,1.214900016784668,10000,10009,0,10006,0,0,10000,1.6921000480651855,4.057300090789795,5.874800205230713,0,0,0,0,0,0,0,0,0,0,348544,0,0,57.505401611328125,0.07109999656677246,0.9366000294685364,0.413100004196167,0.017899999395012856,0.11949999630451202,0,0,0,0,0,0,0,0,0,0,0,0,0
8,86.86380004882812,16.39579963684082,51.54880142211914,28.789499282836914,1.004699945449829,3.6744000911712646,0.010400000028312206,1.1473000049591064,10000,10009,0,10006,0,0,10000,1.5267000198364258,3.8828001022338867,5.661200046539307,10000,4.249800000001549,1.1973,1,2.223,0.2222,376832,15,15,1.5418,8102248,0,0,68.15080261230469,0.06509999930858612,6.429999828338623,0.36340001225471497,0.017999999225139618,0.11649999767541885,0,0,0,0,0,0,0,0,0,0,0,0,0
9,68.09130096435547,13.44320011138916,48.01190185546875,25.552900314331055,1.0930999517440796,3.239000082015991,0.012199999764561653,1.4663000106811523,10000,10009,0,10006,0,0,10000,1.583899974822998,3.8315000534057617,5.510700225830078,10000,1.940499999999879,0.5029,1,0.0776,0.028700000000000003,376832,15,15,0.6222,176096,0,0,61.63529968261719,0.06989999860525131,1.885599970817566,0.3912000060081482,0.016699999570846558,0.12389999628067017,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61.70159912109375,6.845099925994873,48.22760009765625,25.551300048828125,1.0343999862670898,3.2609000205993652,0.00989999994635582,1.8997000455856323,10000,10009,0,10006,0,0,10000,1.561400055885315,3.841399908065796,5.581999778747559,10000,1.8572999999998874,0.5279,1,0.07949999999999999,0.039,376832,15,15,0.7018,8128,0,0,55.22959899902344,0.06729999929666519,1.9296000003814697,0.40610000491142273,0.022299999371170998,0.11760000139474869,0,0,0,0,0,0,0,0,0,0,0,0,0
11,78.04329681396484,24.063199996948242,47.62519836425781,25.642900466918945,1.0636999607086182,3.357800006866455,0.010599999688565731,1.1900999546051025,10000,10009,0,10006,0,0,10000,1.4907000064849854,3.7952001094818115,5.261199951171875,10000,1.7711999999998926,0.5866,1,0.07569999999999999,0.0263,376832,15,15,0.6221,25552968,0,0,71.8572998046875,0.06379999965429306,1.9158999919891357,0.3714999854564667,0.017000000923871994,0.11810000240802765,0,0,0,0,0,0,0,0,0,0,0,0,0
12,70.7656021118164,16.148700714111328,47.22589874267578,24.615999221801758,0.8838000297546387,3.559299945831299,0.015599999576807022,1.8114999532699585,10000,10009,0,10006,0,0,10000,1.3234000205993652,4.298500061035156,5.1595001220703125,10000,1.9097999999998918,0.9099,1,0.0835,0.027200000000000002,376832,15,15,0.81,14269824,1,1,63.52130126953125,0.07599999755620956,2.4588000774383545,0.4034000039100647,0.017899999395012856,0.1256999969482422,0,0,0,0,0,0,0,0,0,0,0,0,0
