frame,fps,cleanPerf,visibleEntities,presenterActive,presenterDefs,primitiveRaw,primitiveStaticRaw,skinnedRaw,gpuSkinned,gpuSkinBuild,gpuSkinDraw,gap,poll,pre,tick,post,begin,sim,simTop1,simTop2,simTop3,presentation,presTop1,presTop2,presTop3,behavior,behaviorBoot,behaviorOwner,behaviorAttr,behaviorTag,behaviorTick,animator,transformSync,minimapCollect,minimapMarkers,minimapProject,minimapScreen,heightSync,heightSamples,requestFlush,spawnBatch,spawnPerf,spawnPerfParts,spawnPerfChildParts,cull,cullSpatial,cullStatic,cullDyn,cullEntity,cullSync,hudProj,hudRaw,hudProjected,hudDensitySkip,mode3D,terrain,terrainChunks,field,fieldCount,fieldDirty,fieldArea,fieldDraws,primitive,primSync,primBucket,primImmediate,primImmediateSkip,primBuild,primDraw,primInstances,primBatches,primCache,ground,groundCount,groundRaw,spline,splineCount,splineRaw,debugDraw,debugDrawCount,debugDrawRaw,overlay,overlayBuild,overlayDirtyLanes,overlayItems,overlayRebuilt,overlayPaint,overlayComposite,uiRender,uiUpload,overlayFinal,nativeDiag,emit,emitDirty,emitDirtyCount,emitRetained,emitRetainedCount,hudPositionOnly,emitRetainedDirectPath,endDraw,screenshot,worldHud,screenBars,screenText,worldHudDrops,screenHudDrops,overlaySceneDrops,utc
120.34ms,8.3,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.16,0.63,0.00,0.00,0.06,17.01,13.49,0.00,0.44,EffectProcessingLoopSystem:0.43,:0.00,:0.00,16.39,CameraCullingSystem:3.86,MinimapPresentationSystem:3.78,PresenterEmitSystem:2.36,0.02,0,0,0,0,0,1.15,1.55,0.37,10009/0,3.76,10000/0,0.69,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,3.86,2.73,0.01,1.09,3.85,0.00,13.43,20000,20000,0,2.66,0.04,4/0,0.01,0,0,0,0,2.57,0.00,0.04,0.01,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.82,0.02,1,20038,0,1.64,0.00,0.00,0.00,1.06,0.00,2.35,0.00,0,0.00,0,0,0/0/0,80.04,0.00,20000,10000,10000,0,0,0,2026-09-09T18:22:38.1499884Z
122.34ms,8.2,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.20,0.69,0.00,0.00,0.05,17.64,14.61,0.01,0.34,EffectProcessingLoopSystem:0.33,:0.00,:0.00,17.16,MinimapPresentationSystem:4.42,CameraCullingSystem:4.34,PresenterEmitSystem:2.18,0.01,0,0,0,0,0,1.10,1.50,0.40,10009/0,4.40,10000/0,0.71,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,4.34,2.71,0.00,1.62,4.34,0.00,14.58,20000,20000,0,2.67,0.02,4/0,0.00,0,0,0,0,2.60,0.00,0.04,0.01,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.59,0.01,1,20038,0,1.69,0.00,0.00,0.00,0.90,0.00,2.18,0.00,0,0.00,0,0,0/0/0,80.36,0.00,20000,10000,10000,0,0,0,2026-09-09T18:22:45.4900792Z
121.44ms,8.2,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.21,0.66,0.00,0.00,0.06,22.56,15.09,0.00,4.73,MassNavigationAuthoredAgentBindingSystem:1.58,MapEntityLifecycleObserverSystem:1.10,AttributeAggregatorSystem:1.04,17.70,CameraCullingSystem:4.47,MinimapPresentationSystem:3.64,PresenterEmitSystem:2.83,0.34,0,166,166,0,0,1.02,1.61,0.36,10009/0,3.63,10000/0,0.67,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,4.47,2.80,0.00,1.66,4.47,0.00,14.59,20000,20000,0,2.66,0.02,4/0,0.00,0,0,0,0,2.59,0.00,0.04,0.02,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,5.37,0.48,3,20038,0,4.45,0.00,0.00,0.00,0.91,0.00,2.83,0.00,0,0.64,330,0,330/0/0,71.37,0.00,20000,10000,10000,0,0,0,2026-09-09T18:22:52.7651491Z
122.34ms,8.2,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.21,0.65,0.00,0.00,0.05,20.12,14.61,0.01,2.59,EffectProcessingLoopSystem:2.58,:0.00,:0.00,17.39,CameraCullingSystem:5.30,MinimapPresentationSystem:3.65,PresenterEmitSystem:2.12,0.01,0,0,0,0,0,1.14,1.67,0.36,10009/0,3.64,10000/0,0.63,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,5.30,2.81,0.01,2.47,5.29,0.00,14.57,20000,20000,0,2.66,0.02,4/0,0.00,0,0,0,0,2.59,0.00,0.04,0.02,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.93,0.01,1,20038,0,1.98,0.00,0.00,0.00,0.94,0.00,2.12,0.00,0,0.00,0,0,0/0/0,77.68,0.00,20000,10000,10000,0,0,0,2026-09-09T18:23:00.0542298Z
118.85ms,8.4,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.21,0.59,0.00,0.00,0.05,18.83,14.68,0.00,0.34,EffectProcessingLoopSystem:0.33,:0.00,:0.00,18.36,CameraCullingSystem:5.67,MinimapPresentationSystem:3.80,PresenterEmitSystem:2.24,0.01,0,0,0,0,0,1.04,1.91,0.41,10009/0,3.80,10000/0,0.65,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,5.67,3.03,0.01,2.62,5.66,0.00,14.65,20000,20000,0,2.60,0.03,4/0,0.00,0,0,0,0,2.53,0.00,0.04,0.01,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.50,0.01,1,20038,0,1.60,0.00,0.00,0.00,0.90,0.00,2.24,0.00,0,0.00,0,0,0/0/0,75.91,0.00,20000,10000,10000,0,0,0,2026-09-09T18:23:07.3347864Z
117.57ms,8.5,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.21,0.65,0.00,0.00,0.05,20.42,14.60,0.01,2.79,EffectProcessingLoopSystem:2.78,:0.00,:0.00,17.49,CameraCullingSystem:5.38,MinimapPresentationSystem:3.66,PresenterEmitSystem:2.26,0.01,0,0,0,0,0,1.03,1.64,0.39,10009/0,3.65,10000/0,0.66,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,5.38,2.86,0.00,2.49,5.37,0.00,14.57,20000,20000,0,2.66,0.04,4/0,0.00,0,0,0,0,2.57,0.00,0.04,0.01,6,0.00,0.03,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.62,0.01,1,20038,0,1.68,0.00,0.00,0.00,0.94,0.00,2.26,0.00,0,0.00,0,0,0/0/0,72.86,0.00,20000,10000,10000,0,0,0,2026-09-09T18:23:14.6102240Z
126.99ms,7.9,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.20,0.60,0.00,0.00,0.05,34.43,15.05,0.00,10.52,MassNavigationSimulationStepSystem:8.61,EffectProcessingLoopSystem:0.42,OrderBufferSystem:0.26,23.78,PresenterEntityTransformSyncSystem:6.68,PresenterEmitSystem:4.89,CameraCullingSystem:4.04,0.01,0,0,0,0,0,1.01,6.67,0.33,10009/0,3.69,10000/0,0.66,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,4.04,2.88,0.00,1.14,4.04,0.00,14.64,20000,20000,0,2.57,0.02,4/0,0.00,0,0,0,0,2.50,0.00,0.04,0.01,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.91,0.40,3,20038,0,2.02,0.00,0.00,0.00,0.89,0.00,4.89,0.00,0,2.82,18704,18704,18704/0/0,67.72,0.00,20000,10000,10000,0,0,0,2026-09-09T18:23:21.8463384Z
119.32ms,8.4,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.20,0.65,0.00,0.00,0.05,18.08,14.57,0.01,0.33,EffectProcessingLoopSystem:0.33,:0.00,:0.00,17.60,CameraCullingSystem:5.39,MinimapPresentationSystem:3.67,PresenterEmitSystem:2.25,0.01,0,0,0,0,0,1.02,1.68,0.34,10009/0,3.66,10000/0,0.65,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,5.39,2.87,0.00,2.50,5.39,0.00,14.55,20000,20000,0,2.68,0.03,4/0,0.00,0,0,0,0,2.61,0.00,0.04,0.01,6,0.00,0.03,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.61,0.01,1,20038,0,1.68,0.00,0.00,0.00,0.93,0.00,2.24,0.00,0,0.00,0,0,0/0/0,77.04,0.00,20000,10000,10000,0,0,0,2026-09-09T18:23:29.3892043Z
117.67ms,8.5,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.20,0.63,0.00,0.00,0.05,22.67,15.09,0.00,4.86,MassNavigationAuthoredAgentBindingSystem:1.61,AttributeAggregatorSystem:1.43,MapEntityLifecycleObserverSystem:0.91,17.67,CameraCullingSystem:4.26,MinimapPresentationSystem:3.58,PresenterEmitSystem:3.07,0.30,0,179,179,0,0,1.01,1.59,0.40,10009/0,3.58,10000/0,0.67,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,4.26,2.83,0.00,1.42,4.26,0.00,14.56,20000,20000,0,2.59,0.03,4/0,0.00,0,0,0,0,2.52,0.00,0.04,0.01,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,5.24,0.51,3,20038,0,4.33,0.00,0.00,0.00,0.91,0.00,3.07,0.00,0,0.67,356,0,356/0/0,67.72,0.00,20000,10000,10000,0,0,0,2026-09-09T18:23:36.6770949Z
126.50ms,7.9,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.20,0.63,0.00,0.00,0.06,32.83,14.87,0.00,9.59,MassNavigationSimulationStepSystem:7.56,EffectProcessingLoopSystem:0.43,SpatialPartitionUpdateSystem:0.24,23.10,PresenterEntityTransformSyncSystem:6.16,PresenterEmitSystem:4.66,CameraCullingSystem:4.05,0.01,0,0,0,0,0,1.01,6.15,0.40,10009/0,3.64,10000/0,0.67,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,4.05,2.81,0.00,1.23,4.05,0.00,14.55,20000,20000,0,2.63,0.03,4/0,0.00,0,0,0,0,2.56,0.00,0.04,0.01,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,3.03,0.30,3,20038,0,2.12,0.00,0.00,0.00,0.90,0.00,4.66,0.00,0,2.44,14224,14224,14224/0/0,68.82,0.00,20000,10000,10000,0,0,0,2026-09-09T18:23:44.1965273Z
