frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes
0,0,baseline,10000,1,0,209.2516,27.4301,3.6943,0.00952,53.19464,91.85904,0,0.3647,344064,0,0,10000,6,60000,10000,6,60000,1720776,0,0,0.2142,0.7605,214896,40
1,0,preskin,10000,1,0,113.2793,10.2674,0.6919,0.03816,33.89,63.15532,0.4534,0.0996,344064,214896,1,10000,6,60000,10000,6,60000,40,0,0,0,0,0,0
2,1,preskin,10000,1,0.016393442,110.8058,6.2203,0.2372,0.04324,32.59432,69.7856,0.1564,0.0293,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
3,1,baseline,10000,1,0.016393442,150.2496,6.7666,0.0992,0.01396,50.119,91.02948,0,0.0325,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0599,0.5463,214896,0
4,2,baseline,10000,1,0.032786883,145.6707,7.346,0.1009,0.01308,48.8722,87.1692,0,0.0329,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0692,0.4854,214896,0
5,2,preskin,10000,1,0.032786883,99.4263,2.8658,0.299,0.0436,31.80808,62.12636,0.2014,0.0377,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
6,3,preskin,10000,1,0.04918033,98.2187,2.7473,0.3022,0.04152,31.59572,61.40488,0.2013,0.0363,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
7,3,baseline,10000,1,0.04918033,139.3291,2.6449,0.108,0.01288,47.8304,86.55356,0,0.0374,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0532,0.4359,214896,0
8,4,baseline,10000,1,0.06557377,136.3998,2.8203,0.1216,0.01272,43.2236,87.87536,0,0.0374,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0606,0.4234,214896,0
9,4,preskin,10000,1,0.06557377,97.8857,2.877,0.286,0.04404,29.995,62.53864,0.1966,0.0376,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
10,5,preskin,10000,1,0.08196721,95.9475,2.5334,0.2674,0.02716,31.48472,58.38856,0.1858,0.0309,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
11,5,baseline,10000,1,0.08196721,141.0728,2.6637,2.6179,0.01336,48.3822,85.34696,0,0.046,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0863,0.4772,214896,0
12,6,baseline,10000,1,0.09836066,134.5992,2.7213,0.1119,0.01316,42.98828,86.72176,0,0.0364,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0662,0.5437,214896,0
13,6,preskin,10000,1,0.09836066,97.5297,3.0528,0.3111,0.05532,30.80296,60.91024,0.208,0.0368,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
14,7,preskin,10000,1,0.114754096,97.4449,2.7587,0.2913,0.04408,30.79432,61.5686,0.1916,0.035,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
15,7,baseline,10000,1,0.114754096,138.7649,3.4741,0.1673,0.01316,46.11908,86.53044,0,0.0359,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0769,0.434,214896,0
16,8,baseline,10000,1,0.13114753,136.0543,3.5118,0.1589,0.01276,45.2964,84.943,0,0.0412,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0888,0.4958,214896,0
17,8,preskin,10000,1,0.13114753,100.6561,2.9042,0.3266,0.04376,31.60112,63.44468,0.2209,0.0438,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
18,9,preskin,10000,1,0.14754099,99.4978,2.8263,0.346,0.04308,31.15092,62.79204,0.2319,0.0493,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
19,9,baseline,10000,1,0.14754099,136.0482,3.6281,0.1216,0.01292,42.19732,87.8282,0,0.045,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0574,0.4,214896,0
20,10,baseline,10000,1,0.16393442,138.9239,2.5646,0.1186,0.01216,46.24708,87.68348,0,0.0492,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0609,0.4372,214896,0
21,10,preskin,10000,1,0.16393442,107.612,3.0324,0.3369,0.04196,32.11024,69.4774,0.2487,0.0476,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
22,11,preskin,10000,1,0.18032786,102.164,3.9571,0.3554,0.045,32.85576,62.64768,0.2509,0.056400000000000006,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
23,11,baseline,10000,1,0.18032786,136.8683,2.7264,0.1071,0.01248,44.93432,86.74288,0,0.0443,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.041,0.3821,214896,0
24,12,baseline,10000,1,0.19672132,133.6448,3.4328,0.1091,0.013,42.16388,85.65716,0,0.047299999999999995,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0513,0.398,214896,0
25,12,preskin,10000,1,0.19672132,107.0756,2.9077,0.346,0.04244,32.9498,68.48312,0.2447,0.0558,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
26,13,preskin,10000,1,0.21311475,100.2218,3.1279,0.3223,0.04436,31.74996,62.80508,0.2281,0.049699999999999994,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
27,13,baseline,10000,1,0.21311475,144.5371,3.4849,0.1123,0.01284,47.48268,91.29396,0,0.0445,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0536,0.3724,214896,0
28,14,baseline,10000,1,0.22950819,142.6143,2.9291,0.1153,0.01304,45.96204,91.04212,0,0.053599999999999995,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0525,0.392,214896,0
29,14,preskin,10000,1,0.22950819,100.8355,3.4924,0.3466,0.04416,31.94916,62.63788,0.2506,0.0526,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
30,15,preskin,10000,1,0.24590164,108.4607,3.3952,0.3286,0.0436,32.7682,69.60972,0.227,0.054400000000000004,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
31,15,baseline,10000,1,0.24590164,151.6389,11.1001,0.08,0.01308,45.80308,92.01148,0,0.030199999999999998,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0943,0.4375,214896,0
32,16,baseline,10000,1,0.26229507,143.9624,3.6788,0.1123,0.01328,45.9384,91.64132,0,0.042800000000000005,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0497,0.452,214896,0
33,16,preskin,10000,1,0.26229507,95.5662,2.9851,0.3145,0.04312,30.45992,59.60556,0.235,0.035199999999999995,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
34,17,preskin,10000,1,0.27868852,97.7665,2.8993,0.3197,0.04176,31.17684,61.01516,0.2407,0.0335,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
35,17,baseline,10000,1,0.27868852,138.7841,3.3524,0.0941,0.01304,45.20656,87.85396,0,0.0308,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0598,0.4017,214896,0
36,18,baseline,10000,1,0.29508197,136.4038,3.0243,0.1021,0.013,45.5034,85.34176,0,0.0412,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0539,0.381,214896,0
37,18,preskin,10000,1,0.29508197,106.8843,3.9517,0.354,0.04324,31.64816,68.66484,0.2446,0.030899999999999997,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
38,19,preskin,10000,1,0.3114754,106.9066,3.3708,0.3307,0.0432,32.64668,68.23772,0.2531,0.0341,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
39,19,baseline,10000,1,0.3114754,142.6465,2.7692,0.1044,0.01216,49.26116,88.01992,0,0.0427,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0493,0.4081,214896,0
40,20,baseline,10000,1,0.32786885,143.9883,2.8724,0.0916,0.01352,46.4188,92.13252,0,0.0334,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0505,0.3879,214896,0
41,20,preskin,10000,1,0.32786885,108.3863,5.1889,0.539,0.04384,31.28864,68.29644,0.4043,0.052199999999999996,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
42,21,preskin,10000,1,0.3442623,107.9081,2.7446,0.3178,0.0416,31.006,71.12664,0.2337,0.0398,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
43,21,baseline,10000,1,0.3442623,143.3029,3.3179,0.1145,0.01284,45.22372,92.03708,0,0.042300000000000004,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0531,0.4178,214896,0
44,22,baseline,10000,1,0.36065573,138.3704,5.0014,0.1541,0.01456,42.18308,88.07536,0,0.0506,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0621,0.426,214896,0
45,22,preskin,10000,1,0.36065573,97.658,3.037,0.3235,0.04392,31.0234,60.94052,0.2356,0.0411,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
46,23,preskin,10000,1,0.37704918,95.8829,2.7515,0.3099,0.04404,30.33764,60.27512,0.2309,0.0349,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
47,23,baseline,10000,1,0.37704918,135.2334,3.6277,0.0869,0.01284,41.98996,87.2626,0,0.0283,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0469,0.3704,214896,0
48,24,baseline,10000,1,0.39344263,137.571,2.9177,0.0981,0.01292,44.7516,87.38408,0,0.0346,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0524,0.4806,214896,0
49,24,preskin,10000,1,0.39344263,97.9052,3.1544,0.3089,0.04516,31.02072,60.99388,0.2253,0.039400000000000004,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
50,25,preskin,10000,1,0.40983605,98.8021,2.8261,0.3145,0.0448,30.78644,62.472,0.2263,0.043899999999999995,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
51,25,baseline,10000,1,0.40983605,139.095,3.4821,0.0954,0.01292,44.42348,88.48548,0,0.0305,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0543,0.3827,214896,0
52,26,baseline,10000,1,0.4262295,146.021,4.0131,0.0993,0.01276,47.0818,92.43116,0,0.0314,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0758,0.4299,214896,0
53,26,preskin,10000,1,0.4262295,104.6788,3.6247,0.4825,0.045,36.22832,61.43568,0.3517,0.060300000000000006,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
54,27,preskin,10000,1,0.44262296,97.028,3.4189,0.3396,0.04144,30.29464,60.82348,0.2581,0.031200000000000002,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
55,27,baseline,10000,1,0.44262296,146.9594,2.8525,0.1019,0.01304,49.33428,92.23856,0,0.0438,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0654,0.3598,214896,0
56,28,baseline,10000,1,0.45901638,138.8092,3.7253,0.1453,0.01336,46.20656,85.65584,0,0.0509,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0707,0.425,214896,0
57,28,preskin,10000,1,0.45901638,97.3197,3,0.3316,0.04252,31.5274,60.20308,0.2455,0.04,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
58,29,preskin,10000,1,0.47540984,97.6797,2.8079,0.3259,0.0438,30.90744,61.28324,0.2369,0.045799999999999993,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
59,29,baseline,10000,1,0.47540984,139.6868,2.6155,0.0937,0.01308,42.65004,91.99764,0,0.0353,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0847,0.3674,214896,0
60,30,baseline,10000,1,0.4918033,144.0495,5.1342,0.164,0.0134,47.26032,88.76588,0,0.058399999999999994,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0707,0.4507,214896,0
61,30,preskin,10000,1,0.4918033,99.7333,2.996,0.3025,0.044,31.18436,62.7636,0.2195,0.0399,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
62,31,preskin,10000,1,0.5081967,96.7363,2.7154,0.3146,0.04328,30.80248,60.535,0.2302,0.0394,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
63,31,baseline,10000,1,0.5081967,144.634,2.8258,0.0905,0.01272,47.19448,91.9634,0,0.032799999999999996,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0481,0.3785,214896,0
64,32,baseline,10000,0,0.52459013,143.5067,3.3878,0.1152,0.01376,45.4206,91.5612,0,0.033,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0505,0.4583,214896,0
65,32,preskin,10000,0,0.52459013,101.2289,3.8578,0.4607,0.04492,31.87844,62.21072,0.3422,0.0506,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
66,33,preskin,10000,0,0.5409836,104.8374,2.8862,0.3375,0.04392,32.8698,66.257,0.2516,0.0412,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
67,33,baseline,10000,0,0.5409836,150.1218,3.55,0.1024,0.01292,52.00264,91.97156,0,0.035,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0525,0.4709,214896,0
68,34,baseline,10000,0,0.55737704,158.3721,4.9986,0.1659,0.01324,57.991,91.97508,0,0.055099999999999996,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0519,0.4636,214896,0
69,34,preskin,10000,0,0.55737704,110.2087,4.3319,0.5633,0.04364,31.79548,70.96512,0.4657,0.0412,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
70,35,preskin,10000,0,0.57377046,108.0092,4.4104,0.5301,0.04396,32.37652,68.26744,0.4315,0.040999999999999995,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
71,35,baseline,10000,0,0.57377046,146.9985,3.6463,0.1415,0.01276,49.90756,90.96028,0,0.0338,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0602,0.4499,214896,0
72,36,baseline,10000,0,0.59016395,152.9901,3.7564,0.1412,0.01392,55.02192,90.51436,0,0.0509,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0498,0.4975,214896,0
73,36,preskin,10000,0,0.59016395,111.6335,3.7323,0.365,0.04392,34.29136,70.7784,0.2749,0.0341,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
74,37,preskin,10000,0,0.60655737,106.3663,4.6916,0.4802,0.04428,35.05272,63.38188,0.3641,0.0429,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
75,37,baseline,10000,0,0.60655737,146.8212,3.341,0.0959,0.0128,49.78836,90.87548,0,0.0358,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.057,0.3508,214896,0
76,38,baseline,10000,0,0.6229508,143.2274,2.8759,0.1055,0.01232,48.38616,89.22048,0,0.0402,344064,0,0,10000,6,60000,10000,6,60000,0,0,0,0.0759,0.435,214896,0
77,38,preskin,10000,0,0.6229508,110.1258,3.4554,0.4257,0.04488,32.2678,71.32176,0.3172,0.0472,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
78,39,preskin,10000,0,0.6393443,113.4925,3.2741,0.3277,0.04312,34.71232,72.68264,0.2432,0.038,344064,214896,1,10000,6,60000,10000,6,60000,0,0,0,0,0,0,0
